名称,市場,33業種区分,17業種区分,売上高(百万円),営業利益(百万円),経常利益(百万円),当期利益(百万円),総資産(百万円),自己資本(百万円),資本金(百万円),有利子負債(百万円),時価総額(百万円),自己資本比率,ROE,ROA,発行済株式数
オンワードホールディングス,東証1部,繊維製品,素材・化学 ,244900,4203,5577,4744,273226,163354,30079,40783,140047,59.8,2.85,1.62,167921669
アコム,東証1部,その他金融業,金融（除く銀行） ,245148,-70166,-69543,-72187,1228930,250007,63832,705874,697576,20.3,-25.18,-6.01,1596282800
京成電鉄,東証1部,陸運業,運輸・物流 ,245837,30048,47064,35711,795447,322067,36803,233508,535337,40.5,11.71,4.53,172411185
すてきナイスグループ,東証1部,卸売業,商社・卸売 ,246410,1518,1143,573,181200,43973,22069,73031,14870,24.3,1.32,0.32,96561195
オープンハウス,東証1部,不動産業,不動産 ,247210,31320,29154,18709,204868,63709,3982,110324,203077,31.1,33.66,10.19,57447400
アインホールディングス,東証1部,小売業,小売 ,248110,14563,15080,7949,156323,60105,8682,25850,282274,38.4,14.02,5.37,34978212
IDOM,東証1部,卸売業,商社・卸売 ,251516,4498,4160,2247,114047,38642,4157,44182,71615,33.9,5.93,2.16,106888000
カルビー,東証1部,食料品,食品 ,252420,28841,28625,18605,182011,128121,12020,1107,523243,70.4,14.94,10.43,133821800
青山商事,東証1部,小売業,小売 ,252777,20210,21084,11568,391369,230873,62504,84550,220191,59,4.98,2.92,55394016
相鉄ホールディングス,東証1部,陸運業,運輸・物流 ,253363,30510,27558,17061,579699,125965,38803,309799,271372,21.7,14.4,2.99,490727495
東京建物,東証1部,不動産業,不動産 ,254498,36363,30635,19742,1314558,317888,92451,721746,300060,24.2,6.37,1.51,216963374
アズビル,東証1部,電気機器,電機・精密 ,254810,20145,20475,13153,263317,163822,10522,11174,361600,62.2,8.25,5.04,74250442
三井ホーム,東証1部,建設業,建設・資材 ,254954,5074,5054,3099,131792,49785,13900,60,47444,37.8,6.38,2.36,66355000
福山通運,東証1部,陸運業,運輸・物流 ,255677,11044,12967,9448,417119,231580,30310,88913,190177,55.5,4.2,2.3,278851815
スクウェア・エニックス・ホールディングス,東証1部,情報・通信業,情報通信・サービスその他 ,256824,31295,31128,20039,243859,181323,23828,8437,480354,74.4,11.47,8.41,122383296
セイコーホールディングス,東証1部,精密機器,電機・精密 ,257115,7487,6671,5392,328857,98119,10000,133561,103304,29.8,5.6,1.64,207021309
トッパン・フォームズ,東証1部,その他製品,情報通信・サービスその他 ,257734,9474,10065,5876,224357,166960,11750,161,135815,74.4,3.55,2.59,115000000
NECネッツエスアイ,東証1部,情報・通信業,情報通信・サービスその他 ,257912,9974,9975,6549,197469,94612,13122,8254,133892,47.9,6.99,3.32,49773807
いなげや,東証1部,小売業,小売 ,258128,2396,2653,656,97520,51666,8981,11266,103139,53,1.28,0.67,52381447
鴻池運輸,東証1部,陸運業,運輸・物流 ,258332,10232,10721,7310,204655,91947,1697,42616,92972,44.9,8.19,3.69,56933332
ミスミグループ本社,東証1部,卸売業,商社・卸売 ,259015,27127,26462,18387,212041,154530,7593,10388,853876,72.9,12.42,9.05,281807247
ニフコ,東証1部,化学,素材・化学 ,259439,29813,28431,20364,291120,130637,7290,95300,369831,44.9,16.17,7.15,53754477
ショーワ,東証1部,輸送用機器,自動車・輸送機 ,259495,-3263,-2407,-11444,205885,84152,12698,16716,97382,40.9,-12.9,-5.83,76020019
高砂熱学工業,東証1部,建設業,建設・資材 ,260204,12383,13427,8665,234716,109384,13134,5527,155103,46.6,8.19,3.77,82765768
SBIホールディングス,東証1部,証券、商品先物取引業,金融（除く銀行） ,261939,43767,43139,32455,3850001,377992,81681,518977,359299,9.8,8.66,0.93,224561761
北越紀州製紙,東証1部,パルプ・紙,素材・化学 ,262398,12900,14055,10380,362205,180294,42020,116363,144811,49.8,5.95,2.86,209263814
曙ブレーキ工業,東証1部,輸送用機器,自動車・輸送機 ,266099,4223,761,354,201790,25066,19939,113371,48685,12.4,1.45,0.17,135992343
エクセディ,東証1部,輸送用機器,自動車・輸送機 ,266121,22083,20796,13855,280072,168197,8284,46935,162303,60.1,8.4,5.14,48593736
カワチ薬品,東証1部,小売業,小売 ,266423,5723,7062,3510,180852,89095,13001,33490,66375,49.3,3.97,1.95,24583420
イビデン,東証1部,電気機器,電機・精密 ,266459,7141,2301,-62848,405783,256516,64152,70061,255662,63.2,-21.53,-14.25,140860557
近鉄百貨店,東証1部,小売業,小売 ,266477,3062,2698,1715,131955,30539,15000,25479,150429,23.1,5.85,1.28,40437940
コーセー,東証1部,化学,素材・化学 ,266762,39160,39564,21657,247191,163807,4848,1016,828300,66.3,13.92,9.01,60592541
ゲオホールディングス,東証1部,小売業,小売 ,268079,8662,9040,4223,130768,67562,8896,26614,74465,51.7,6.38,3.24,48291200
オークワ,東証1部,小売業,小売 ,268427,2642,3225,1476,139297,78052,14117,23340,53787,56,1.9,1.07,45237297
東洋インキSCホールディングス,東証1部,化学,素材・化学 ,268484,19222,19257,12687,365214,213264,31733,62626,193383,58.4,6.02,3.5,303108724
イオンモール,東証1部,不動産業,不動産 ,269793,44935,46420,28527,1012758,350074,42256,360291,455972,34.6,8.35,2.87,227417299
丸文,東証1部,卸売業,商社・卸売 ,270698,2883,2651,1650,125984,41707,6214,34177,23984,33.1,4.02,1.42,28051200
蝶理,東証1部,卸売業,商社・卸売 ,270908,6448,6967,4780,97983,46270,6800,3487,53112,47.2,10.73,4.86,25303478
ニチユ三菱フォークリフト,東証1部,輸送用機器,自動車・輸送機 ,270969,10508,8978,3635,366915,58095,4890,182438,59987,15.8,6.34,1.3,76611269
パルコ,東証1部,小売業,小売 ,273376,12812,13253,7525,250323,122039,34367,58099,135352,48.8,6.31,3.09,101462977
THK,東証1部,機械,機械 ,273577,24653,23398,16731,414931,248940,34606,82665,518695,60,6.74,4.07,133856903
UKCホールディングス,東証1部,卸売業,商社・卸売 ,273752,-6603,-7385,-8688,124237,36742,4383,36551,30348,29.6,-20.83,-7.24,15700021
ニチイ学館,東証1部,サービス業,情報通信・サービスその他 ,276659,4206,1429,1403,191708,36594,11933,42701,87329,19.1,3.82,0.75,73017952
アマダホールディングス,東証1部,機械,機械 ,278840,33030,34307,25894,533433,416797,54768,17071,469619,78.1,6.22,4.71,378115217
クレディセゾン,東証1部,その他金融業,金融（除く銀行） ,278944,31213,53065,42253,2720051,445064,75929,1815744,381089,16.4,9.78,1.6,185444772
パソナグループ,東証1部,サービス業,情報通信・サービスその他 ,280395,4488,4319,-129,94584,19056,5000,17379,49111,20.1,-0.68,-0.14,41690300
S FOODS,東証1部,食料品,食品 ,281233,10555,10843,6499,134271,59155,4298,31763,137460,44.1,11.91,5.23,32267721
サンデンホールディングス,東証1部,機械,機械 ,282061,1582,-2262,-22488,280194,43549,11037,128488,60343,15.5,-39.58,-7.73,140331565
日本ユニシス,東証1部,情報・通信業,情報通信・サービスその他 ,282249,14314,13852,10261,192694,89918,5483,37639,187963,46.7,11.38,5.32,109663524
タチエス,東証1部,輸送用機器,自動車・輸送機 ,282525,8859,12337,7262,173650,87654,9040,7305,74015,50.5,8.52,4.3,36442846
ミライト・ホールディングス,東証1部,建設業,建設・資材 ,283236,10061,10590,6437,218053,124133,7000,17322,112021,56.9,5.21,3.12,85381866
ハウス食品グループ本社,東証1部,食料品,食品 ,283812,12312,13951,8683,353888,235246,9948,6261,361197,66.5,3.74,2.47,102758690
日本ゼオン,東証1部,化学,素材・化学 ,287624,30767,31805,23152,411415,240188,24211,43177,343760,58.4,10.27,5.82,237075556
リコーリース,東証1部,その他金融業,金融（除く銀行） ,291116,17333,17180,11772,918864,155315,7896,666693,129972,16.9,7.84,1.31,31243223
不二製油グループ本社,東証1部,食料品,食品 ,292547,19694,19712,12105,272109,150731,13208,65667,265773,55.4,8.26,4.49,87569383
日本触媒,東証1部,化学,素材・化学 ,293970,21151,24664,19361,433610,288671,25038,57933,334152,66.6,6.82,4.6,40800000
イオンディライト,東証1部,サービス業,情報通信・サービスその他 ,294725,17257,17381,10238,139505,89346,3238,564,221012,64,11.98,7.56,54169633
協和エクシオ,東証1部,建設業,建設・資材 ,298825,20873,21409,13789,243438,157805,6888,12216,246346,64.8,8.94,5.72,117812419
トクヤマ,東証1部,化学,素材・化学 ,299106,39720,33998,52165,424433,127016,10000,212328,181480,29.9,58.45,12.63,349671876
JVCケンウッド,東証1部,電気機器,電機・精密 ,299278,5781,3616,-6727,262297,56040,10000,70262,44202,21.4,-12.42,-2.59,139000201
SCREENホールディングス,東証1部,電気機器,電機・精密 ,300233,33731,32019,24168,300659,142804,54044,14985,386041,47.5,18.42,8.47,50794866
京阪ホールディングス,東証1部,陸運業,運輸・物流 ,302917,32343,30335,22636,679631,200571,51466,314537,381426,29.5,11.62,3.35,565913515
コーナン商事,東証1部,小売業,小売 ,304789,16081,14562,6072,287217,96952,17658,100692,71723,33.8,6.41,2.1,34682113
コクヨ,東証1部,その他製品,情報通信・サービスその他 ,307625,15438,15690,12182,293971,186273,15847,23687,237144,63.4,6.67,4.2,128742463
京浜急行電鉄,東証1部,陸運業,運輸・物流 ,309829,37761,35393,22514,826935,239147,43738,413477,639764,28.9,9.78,2.43,551521094
サイバーエージェント,東証1部,サービス業,情報通信・サービスその他 ,310665,36790,35341,13612,156597,77141,7203,945,423529,49.3,18.93,9.46,126426600
シチズン時計,東証1部,精密機器,電機・精密 ,312559,21501,21985,16573,395887,239420,32648,53031,249556,60.5,7.1,4.13,320353809
日本製粉,東証1部,食料品,食品 ,312932,11574,13162,8934,252074,143175,12240,38899,145572,56.8,6.53,3.57,82524009
スターゼン,東証1部,卸売業,商社・卸売 ,313943,5562,6599,4578,117386,43327,11027,43646,50354,36.9,11.7,4.13,9482921
西松建設,東証1部,建設業,建設・資材 ,315228,25259,25446,19210,385674,167804,23513,42844,168442,43.5,11.95,5.21,277957513
フジ,東証1部,小売業,小売 ,317381,7195,8309,4812,158589,70499,15921,35698,101277,44.5,7.1,3.04,35300560
OUGホールディングス,東証1部,卸売業,商社・卸売 ,320401,2645,2151,1742,72656,21087,6495,25064,16075,29,8.86,2.43,55622921
三協立山,東証1部,金属製品,建設・資材 ,320817,6713,6842,2122,254139,81637,15000,63068,48847,32.1,2.66,0.83,31554629
ダイフク,東証1部,機械,機械 ,320825,23099,23760,16746,303540,139093,15016,39769,689744,45.8,12.58,5.59,123610077
ユニプレス,東証1部,輸送用機器,自動車・輸送機 ,321168,23025,23034,14379,241052,126509,10039,22445,138939,52.5,11.65,6.06,47843973
カシオ計算機,東証1部,電気機器,電機・精密 ,321213,30636,26239,18410,351452,196332,48592,73178,408476,55.9,9.24,5.11,259020914
シマノ,東証1部,輸送用機器,自動車・輸送機 ,322998,64546,70002,50964,443954,390627,35613,8975,1378746,88,13.39,11.68,92720000
日清オイリオグループ,東証1部,食料品,食品 ,324909,10234,10334,7569,245831,123205,16332,48244,129138,50.1,6.33,3.17,173339287
大京,東証1部,不動産業,不動産 ,325360,20523,19967,14044,277899,177863,41171,28918,183049,64,8.17,5.08,843542737
ケーヒン,東証1部,輸送用機器,自動車・輸送機 ,325550,22954,20729,11084,266851,170421,6932,8590,135689,63.9,6.72,4.23,73985246
ミツバ,東証1部,電気機器,電機・精密 ,327977,22687,20213,5082,329391,78082,9885,147653,76577,23.7,6.6,1.58,45581809
SCSK,東証1部,情報・通信業,情報通信・サービスその他 ,329303,33714,36121,28458,389537,166898,21152,60000,501057,42.8,18.22,7.67,107986403
東洋紡,東証1部,繊維製品,素材・化学 ,329487,23332,20650,9444,450790,167773,51730,168345,177207,37.2,5.82,2.11,890487922
コメリ,東証1部,小売業,小売 ,329588,16689,16811,11017,306562,155121,18802,59328,174381,50.6,7.33,3.6,54409168
関西ペイント,東証1部,化学,素材・化学 ,330235,35310,40025,24168,540458,253348,25658,116397,769343,46.9,9.5,4.98,272623270
良品計画,東証1部,小売業,小売 ,333281,38278,38582,25831,214705,153029,6766,10887,951844,71.3,17.67,12.43,28078000
コムシスホールディングス,東証1部,建設業,建設・資材 ,334163,25036,25341,14485,284367,201718,10000,113,358422,70.9,7.3,5.26,141000000
アスクル,東証1部,小売業,小売 ,335914,8865,8866,1014,155678,46060,21189,18163,187882,29.6,2.09,0.69,55259400
塩野義製薬,東証1部,医薬品,医薬品 ,338890,108178,123031,83879,670271,522321,21279,30054,1961322,77.9,16.26,12.81,329136165
JKホールディングス,東証1部,卸売業,商社・卸売 ,339918,4593,4369,2790,190279,35607,3195,41495,25854,18.7,8.18,1.5,31840016
九電工,東証1部,建設業,建設・資材 ,341771,30732,32187,22297,300478,139881,11632,32954,310180,46.6,17.76,7.93,70898186
島津製作所,東証1部,精密機器,電機・精密 ,342479,37089,37039,26473,375354,241332,26648,18611,667638,64.3,11.48,7.3,296070227
協和発酵キリン,東証1部,医薬品,医薬品 ,343019,31638,26397,18669,697167,600183,26745,5360,1074565,86.1,3.07,2.63,576483555
ヤオコー,東証1部,小売業,小売 ,343061,14520,14214,9927,179870,76089,4199,47831,217275,42.3,13.78,6.16,40013722
熊谷組,東証1部,建設業,建設・資材 ,344706,25135,25358,16433,271908,80288,13341,15421,127233,29.5,22.63,6.23,377544607
アサツー ディ・ケイ,東証1部,サービス業,情報通信・サービスその他 ,352671,5569,8688,2376,227260,111606,37581,2072,128398,49.1,2.02,1.03,41755400
江崎グリコ,東証1部,食料品,食品 ,353217,24254,26367,18147,324118,192450,7773,32402,392280,59.4,9.92,6.06,69430069
三和ホールディングス,東証1部,金属製品,建設・資材 ,353922,26440,25278,17070,323393,138912,38413,74738,300095,43,12.72,5.39,235000000
すかいらーく,東証1部,小売業,小売 ,354513,31249,28952,18213,318317,114198,2670,131807,319328,35.9,16.75,5.75,196147600
KYB,東証1部,輸送用機器,自動車・輸送機 ,355316,19247,18852,14544,381326,164299,27648,90945,163503,43.1,9.31,3.93,257484315
TBSホールディングス,東証1部,情報・通信業,情報通信・サービスその他 ,355363,19878,26207,16136,707063,502445,54986,23169,398390,71.1,3.41,2.38,190434968
西日本鉄道,東証1部,陸運業,運輸・物流 ,358273,19354,19155,12179,523179,164032,26157,197420,215860,31.4,7.82,2.4,396800930
ジーエス・ユアサ コーポレーション,東証1部,電気機器,電機・精密 ,359605,23106,22545,12229,370508,161723,33021,74257,240700,43.6,7.75,3.41,413574714
パナホーム,東証1部,建設業,建設・資材 ,359607,11848,11632,7559,287780,153720,28375,2855,200928,53.4,5,2.68,168563533
ニプロ,東証1部,精密機器,電機・精密 ,359699,28770,23166,11346,752839,166083,84397,454489,252045,22.1,6.83,1.55,171459479
三谷商事,東証2部,卸売業,商社・卸売 ,361399,16476,17740,10459,202399,106617,5008,10053,129095,52.7,10.2,5.33,31602137
デンカ,東証1部,化学,素材・化学 ,362647,25844,23158,18145,454944,223565,36998,113748,324557,49.1,8.34,4.04,442779202
プリマハム,東証1部,食料品,食品 ,363336,15565,16102,10009,170919,72019,7908,22185,196287,42.1,14.81,6.17,252621998
セガサミーホールディングス,東証1部,機械,機械 ,366939,29527,28542,27607,521599,307766,29953,102854,401208,59,9.16,5.24,266229476
日立キャピタル,東証1部,その他金融業,金融（除く銀行） ,370860,44246,46033,32926,3245029,349845,9983,2546720,329417,10.8,9.61,1.04,124826552
日本特殊陶業,東証1部,ガラス・土石製品,建設・資材 ,372919,53595,55559,25602,563801,352306,47869,99107,472912,62.5,7.41,4.7,212544820
上新電機,東証1部,小売業,小売 ,374387,7982,8050,5190,185971,75859,15121,43423,105350,40.8,7.08,2.83,57568067
DMG森精機,東証1部,機械,機械 ,376631,1961,-1064,-7826,558222,100449,51115,206780,244350,18,-6.12,-1.35,125953683
ココカラファイン,東証1部,小売業,小売 ,377203,10159,12507,7037,146963,83237,1000,300,161496,56.6,8.73,4.86,25472485
ヤクルト本社,東証1部,食料品,食品 ,378307,37281,49370,30154,585741,343502,31117,104160,1424873,58.6,8.93,5.18,175910218
ヤマエ久野,福証,繊維製品,素材・化学 ,379573,3822,4365,2916,124263,42527,1026,15205,26162,34.2,7.12,2.35,20519212
東洋ゴム工業,東証1部,ゴム製品,自動車・輸送機 ,381635,49315,44102,-12260,491088,141578,30484,132481,304340,28.8,-7.82,-2.42,127179073
東洋水産,東証1部,食料品,食品 ,382678,29486,31147,20837,361074,271199,18969,267,461265,75.1,7.91,5.9,110881044
九州旅客鉄道,東証1部,陸運業,運輸・物流 ,382912,58743,60565,44751,676669,343039,16000,78315,524000,50.7,13.91,6.76,160000000
パイオニア,東証1部,電気機器,電機・精密 ,386682,4167,2966,-5054,281786,82516,91732,39292,76678,29.3,-6.01,-1.74,372223436
スタンレー電気,東証1部,電気機器,電機・精密 ,388560,42305,45720,28685,458042,316865,30514,19526,682281,69.2,9.41,6.45,176300000
東邦ガス,東証1部,電気・ガス業,電力・ガス ,390433,23188,24490,17749,532931,306801,33072,113544,370102,57.6,6,3.26,531756429
